TF,Target
STAT1,ANKS1A
STAT1,APBA1
STAT1,ARF3
STAT1,ARHGAP8
STAT1,ARPC1A
STAT1,ASXL1
STAT1,BCL6
STAT1,BRD2
STAT1,BTBD1
STAT1,LIX1
STAT1,GOLT1B
STAT1,CISH
STAT1,CCDC85B
STAT1,DRC7
STAT1,EIF2B4
STAT1,FBXO8
STAT1,VPS53
STAT1,CPSF7
STAT1,SDHAF2
STAT1,ZNF446
STAT1,GEN1
STAT1,GABPB2
STAT1,GABRA1
STAT1,GREM1
STAT1,POLR2M
STAT1,GSK3A
STAT1,HNRNPR
STAT1,JAK3
STAT1,CEP164
STAT1,CEP44
STAT1,LIN28A
STAT1,IFTAP
STAT1,CREBRF
STAT1,TPI1P2
STAT1,TMEM95
STAT1,LRP5
STAT1,IFT43
STAT1,MUC1
STAT1,PARN
STAT1,PASK
STAT1,PCDH1
STAT1,PPP1R7
STAT1,PTHLH
STAT1,RAB10
STAT1,RELA
STAT1,SCAMP3
STAT1,SDC1
STAT1,SEC14L2
STAT1,SERPING1
STAT1,SET
STAT1,SLC38A5
STAT1,SLC6A14
STAT1,SMC6
STAT1,SNCB
STAT1,SSBP4
STAT1,STX12
STAT1,TCEA2
STAT1,TCEAL1
STAT1,TDG
STAT1,CD40LG
STAT1,TNIP2
STAT1,TNPO3
STAT1,TRAF4
STAT1,TXN2
STAT1,UBR1
STAT1,NSD3
STAT1,WNT10A
STAT1,ZFPM1
STAT1,ZNF235
STAT1,ADAM22
STAT1,COQ8B
STAT1,AGL
STAT1,APBA3
STAT1,ARHGAP9
STAT1,ARHGEF15
STAT1,ARPC1B
STAT1,CHMP2A
STAT1,BCLAF1
STAT1,BDNF
STAT1,BET1
STAT1,WBP1L
STAT1,CSRNP2
STAT1,GPATCH2L
STAT1,C4BPA
STAT1,AKIRIN2
STAT1,LINC00474
STAT1,PLPP7
STAT1,RMI1
STAT1,CAP1
STAT1,CASK
STAT1,CBX3
STAT1,CCND1
STAT1,CCNI
STAT1,CCR4
STAT1,CD9
STAT1,CDK6
STAT1,ADAP2
STAT1,TMED5
STAT1,METTL25B
STAT1,CHRM1
STAT1,CKS1B
STAT1,NUDCD1
STAT1,CNKSR2
STAT1,CNTN6
STAT1,ENOX2
STAT1,COX7B
STAT1,COX8A
STAT1,CPT2
STAT1,CRK
STAT1,CS
STAT1,CSNK1A1
STAT1,TMEM187
STAT1,DDOST
STAT1,DDX25
STAT1,DDX47
STAT1,DHH
STAT1,POC1A
STAT1,CTTNBP2NL
STAT1,NOC2L
STAT1,DLL1
STAT1,DLX1
STAT1,DNAJA2
STAT1,DNAJC5G
STAT1,DTX2
STAT1,E2F3
STAT1,EIF2S3
STAT1,EIF4G1
STAT1,ELAVL2
STAT1,EP300
STAT1,EPHA1
STAT1,EPHB2
STAT1,ERF
STAT1,ERG
STAT1,PCYT2
STAT1,EXTL3
STAT1,FAM20B
STAT1,CALHM1
STAT1,SKA2
STAT1,FBRS
STAT1,FBXO11
STAT1,FEM1A
STAT1,PUS3
STAT1,PRPF38B
STAT1,RNF220
STAT1,INTS9
STAT1,PRR11
STAT1,MINDY1
STAT1,ISG20L2
STAT1,ARMCX6
STAT1,SIKE1
STAT1,HMBOX1
STAT1,ZFP2
STAT1,INTS3
STAT1,CAMKMT
STAT1,ZNF420
STAT1,LINC00955
STAT1,FOXA3
